item_nbr,store_nbr,mae,mean_sales,mae_pct,safety_stock,reorder_point,eoq
1391549,1,2.44,3.65,66.7,11,36,258
1397060,1,3.02,4.81,62.8,15,48,296
1397061,1,9.78,15.93,61.4,48,160,539
1397062,1,6.57,9.46,69.4,30,96,416
1404385,1,1.53,2.0,76.6,6,20,191
1418845,1,5.28,8.07,65.3,28,85,384
1427659,1,6.75,28.37,23.8,49,247,720
1428328,1,10.9,20.19,54.0,65,207,607
1428331,1,2.67,6.13,43.5,14,57,335
1430040,1,11.96,21.29,56.2,69,218,623
1430041,1,6.25,13.63,45.9,35,131,499
1455482,1,3.65,6.64,55.0,19,66,348
1456881,1,2.71,4.78,56.8,14,47,295
1457012,1,2.6,5.46,47.7,20,58,316
1457175,1,2.13,2.92,72.9,7,28,231
1457176,1,2.22,2.95,75.3,8,29,232
1457179,1,10.81,13.09,82.6,66,157,489
1457181,1,1.53,4.26,35.9,10,40,279
1457182,1,1.56,2.85,54.8,8,28,228
1457183,1,1.97,3.33,59.2,7,31,246
1457184,1,1.59,2.54,62.7,7,25,215
1457217,1,1.54,3.18,48.4,8,31,241
1457231,1,1.97,3.81,51.6,9,36,264
1457328,1,2.65,6.23,42.5,15,58,337
1457337,1,2.92,9.73,30.0,18,86,421
1457338,1,4.25,6.19,68.7,14,58,336
1457341,1,3.29,9.65,34.1,18,85,420
1459058,1,3.27,7.57,43.3,19,72,372
1463507,1,5.28,6.28,84.1,22,66,339
1463509,1,3.36,5.38,62.3,20,57,313
1463510,1,3.72,5.43,68.5,16,54,315
1463609,1,1.67,1.8,92.6,5,17,181
1463625,1,2.32,4.05,57.3,11,40,272
1463626,1,3.08,5.45,56.6,17,55,315
1463637,1,2.33,4.3,54.1,11,41,280
1463765,1,2.42,5.25,46.1,18,55,310
1463771,1,3.69,7.0,52.7,18,67,357
1463773,1,2.15,5.43,39.7,14,52,315
1463786,1,2.22,4.0,55.4,11,39,270
1463787,1,5.91,9.42,62.7,29,95,415
1463797,1,7.29,9.08,80.3,67,130,407
1463798,1,4.33,8.05,53.8,23,80,383
1463801,1,3.51,4.52,77.6,14,46,287
1463806,1,1.24,2.31,53.7,7,23,205
1463807,1,4.28,4.5,95.0,38,70,287
1463810,1,24.8,41.21,60.2,155,444,867
1463812,1,8.34,8.74,95.5,32,93,399
1463814,1,34.55,57.22,60.4,205,605,1022
1463819,1,3.91,7.61,51.4,19,73,373
1463820,1,6.02,10.5,57.3,28,102,438
1463823,1,12.51,19.88,62.9,50,190,602
1463825,1,8.55,18.32,46.7,50,178,578
1463855,1,4.63,4.3,107.8,15,46,280
1463857,1,4.35,7.31,59.5,24,75,365
1463860,1,4.16,6.98,59.6,20,69,357
1463862,1,6.15,15.6,39.4,35,144,534
1463865,1,4.1,7.81,52.5,23,78,378
1463866,1,6.79,16.27,41.7,38,152,545
1463867,1,5.92,5.09,116.2,14,50,305
1463881,1,7.2,12.14,59.3,40,125,471
1463885,1,5.33,8.84,60.3,30,92,402
1463896,1,4.9,8.42,58.1,22,81,392
1463897,1,3.18,5.76,55.2,19,60,324
1463898,1,2.86,4.2,68.2,14,44,277
1463899,1,4.92,4.41,111.4,14,45,284
1463992,1,14.02,59.53,23.5,87,504,1042
1463993,1,10.82,53.28,20.3,83,456,986
1463994,1,7.19,16.34,44.0,38,152,546
1463998,1,3.37,4.56,73.9,17,49,289
1464002,1,15.61,14.81,105.5,94,198,520
1464005,1,6.92,7.76,89.1,32,86,376
1464025,1,4.84,7.17,67.5,25,75,362
1464034,1,4.81,7.95,60.5,26,82,381
1464045,1,7.13,16.68,42.7,48,165,552
